subtaskID,ID
1,9740
1,9741
1,9742
1,9743
1,9744
1,9745
1,9746
1,9747
1,9748
1,9749
1,9750
1,9751
1,9752
1,9753
1,9754
1,9755
1,9756
1,9757
1,9758
1,9759
1,9760
1,9761
1,9762
1,9763
1,9764
1,9765
1,9766
1,9767
1,9768
1,9769
1,9770
1,9771
1,9772
1,9773
1,9774
1,9775
1,9776
1,9777
1,9778
1,9779
1,9780
1,9781
1,9782
1,9783
1,9784
1,9785
1,9786
1,9787
1,9788
1,9789
1,9790
1,9791
1,9792
1,9793
1,9794
1,9795
1,9796
1,9797
1,9798
1,9799
1,9800
1,9801
1,9802
1,9803
1,9804
1,9805
1,9806
1,9807
1,9808
1,9809
1,9810
1,9811
1,9812
1,9813
1,9814
1,9815
1,9816
1,9817
1,9818
1,9819
1,9820
1,9821
1,9822
1,9823
1,9824
1,9825
1,9826
1,9827
1,9828
1,9829
1,9830
1,9831
1,9832
1,9833
1,9834
1,9835
1,9836
1,9837
1,9838
1,9839
1,9840
1,9841
1,9842
1,9843
1,9844
1,9845
1,9846
1,9847
1,9848
1,9849
1,9850
1,9851
1,9852
1,9853
1,9854
1,9855
1,9856
1,9857
1,9858
1,9859
1,9860
1,9861
1,9862
1,9863
1,9864
1,9865
1,9866
1,9867
1,9868
1,9869
1,9870
1,9871
1,9872
1,9873
1,9874
1,9875
1,9876
1,9877
1,9878
1,9879
1,9880
1,9881
1,9882
1,9883
1,9884
1,9885
1,9886
1,9887
1,9888
1,9889
1,9890
1,9891
1,9892
1,9893
1,9894
1,9895
1,9896
1,9897
1,9898
1,9899
1,9900
1,9901
1,9902
1,9903
1,9904
1,9905
1,9906
1,9907
1,9908
1,9909
1,9910
1,9911
1,9912
1,9913
1,9914
1,9915
1,9916
1,9917
1,9918
1,9919
1,9920
1,9921
1,9922
1,9923
1,9924
1,9925
1,9926
1,9927
1,9928
1,9929
1,9930
1,9931
1,9932
1,9933
1,9934
1,9935
1,9936
1,9937
1,9938
1,9939
1,9940
1,9941
1,9942
1,9943
1,9944
1,9945
1,9946
1,9947
1,9948
1,9949
1,9950
1,9951
1,9952
1,9953
1,9954
1,9955
1,9956
1,9957
1,9958
1,9959
1,9960
1,9961
1,9962
1,9963
1,9964
1,9965
1,9966
1,9967
1,9968
1,9969
1,9970
1,9971
1,9972
1,9973
1,9974
1,9975
1,9976
1,9977
1,9978
1,9979
1,9980
1,9981
1,9982
1,9983
1,9984
1,9985
1,9986
1,9987
1,9988
1,9989
1,9990
1,9991
1,9992
1,9993
1,9994
1,9995
1,9996
1,9997
1,9998
1,9999
1,10000
1,10001
1,10002
1,10003
1,10004
1,10005
1,10006
1,10007
1,10008
1,10009
1,10010
1,10011
1,10012
1,10013
1,10014
1,10015
1,10016
1,10017
1,10018
1,10019
1,10020
1,10021
1,10022
1,10023
1,10024
1,10025
1,10026
1,10027
1,10028
1,10029
1,10030
1,10031
1,10032
1,10033
1,10034
1,10035
1,10036
1,10037
1,10038
1,10039
1,10040
1,10041
1,10042
1,10043
1,10044
1,10045
1,10046
1,10047
1,10048
1,10049
1,10050
1,10051
1,10052
1,10053
1,10054
1,10055
1,10056
1,10057
1,10058
1,10059
1,10060
1,10061
1,10062
1,10063
1,10064
1,10065
1,10066
1,10067
1,10068
1,10069
1,10070
1,10071
1,10072
1,10073
1,10074
1,10075
1,10076
1,10077
1,10078
1,10079
1,10080
1,10081
1,10082
1,10083
1,10084
1,10085
1,10086
1,10087
1,10088
1,10089
1,10090
1,10091
1,10092
1,10093
1,10094
1,10095
1,10096
1,10097
1,10098
1,10099
1,10100
1,10101
1,10102
1,10103
1,10104
1,10105
1,10106
1,10107
1,10108
1,10109
1,10110
1,10111
1,10112
1,10113
1,10114
1,10115
1,10116
1,10117
1,10118
1,10119
1,10120
1,10121
1,10122
1,10123
1,10124
1,10125
1,10126
1,10127
1,10128
1,10129
1,10130
1,10131
1,10132
1,10133
1,10134
1,10135
1,10136
1,10137
1,10138
1,10139
1,10140
1,10141
1,10142
1,10143
1,10144
1,10145
1,10146
1,10147
1,10148
1,10149
1,10150
1,10151
1,10152
1,10153
1,10154
1,10155
1,10156
1,10157
1,10158
1,10159
1,10160
1,10161
1,10162
1,10163
1,10164
1,10165
1,10166
1,10167
1,10168
1,10169
1,10170
1,10171
1,10172
1,10173
1,10174
1,10175
1,10176
1,10177
1,10178
1,10179
1,10180
1,10181
1,10182
1,10183
1,10184
1,10185
1,10186
1,10187
1,10188
1,10189
1,10190
1,10191
1,10192
1,10193
1,10194
1,10195
1,10196
1,10197
1,10198
1,10199
1,10200
1,10201
1,10202
1,10203
1,10204
1,10205
1,10206
1,10207
1,10208
1,10209
1,10210
1,10211
1,10212
1,10213
1,10214
1,10215
1,10216
1,10217
1,10218
1,10219
1,10220
1,10221
1,10222
1,10223
1,10224
1,10225
1,10226
1,10227
1,10228
1,10229
1,10230
1,10231
1,10232
1,10233
1,10234
1,10235
1,10236
1,10237
1,10238
1,10239
1,10240
1,10241
1,10242
1,10243
1,10244
1,10245
1,10246
1,10247
1,10248
1,10249
1,10250
1,10251
1,10252
1,10253
1,10254
1,10255
1,10256
1,10257
1,10258
1,10259
1,10260
1,10261
1,10262
1,10263
1,10264
1,10265
1,10266
1,10267
1,10268
1,10269
1,10270
1,10271
1,10272
1,10273
1,10274
1,10275
1,10276
1,10277
1,10278
1,10279
1,10280
1,10281
1,10282
1,10283
1,10284
1,10285
1,10286
1,10287
1,10288
1,10289
1,10290
1,10291
1,10292
1,10293
1,10294
1,10295
1,10296
1,10297
1,10298
1,10299
1,10300
1,10301
1,10302
1,10303
1,10304
1,10305
1,10306
1,10307
1,10308
1,10309
1,10310
1,10311
1,10312
1,10313
1,10314
1,10315
1,10316
1,10317
1,10318
1,10319
1,10320
1,10321
1,10322
1,10323
1,10324
1,10325
1,10326
1,10327
1,10328
1,10329
1,10330
1,10331
1,10332
1,10333
1,10334
1,10335
1,10336
1,10337
1,10338
1,10339
1,10340
1,10341
1,10342
1,10343
1,10344
1,10345
1,10346
1,10347
1,10348
1,10349
1,10350
1,10351
1,10352
1,10353
1,10354
1,10355
1,10356
1,10357
1,10358
1,10359
1,10360
1,10361
1,10362
1,10363
1,10364
1,10365
1,10366
1,10367
1,10368
1,10369
1,10370
1,10371
1,10372
1,10373
1,10374
1,10375
1,10376
1,10377
1,10378
1,10379
1,10380
1,10381
1,10382
1,10383
1,10384
1,10385
1,10386
1,10387
1,10388
1,10389
1,10390
1,10391
1,10392
1,10393
1,10394
1,10395
1,10396
1,10397
1,10398
1,10399
1,10400
1,10401
1,10402
1,10403
1,10404
1,10405
1,10406
1,10407
1,10408
1,10409
1,10410
1,10411
1,10412
1,10413
1,10414
1,10415
1,10416
1,10417
1,10418
1,10419
1,10420
1,10421
1,10422
1,10423
1,10424
1,10425
1,10426
1,10427
1,10428
1,10429
1,10430
1,10431
1,10432
1,10433
1,10434
1,10435
1,10436
1,10437
1,10438
1,10439
1,10440
1,10441
1,10442
1,10443
1,10444
1,10445
1,10446
1,10447
1,10448
1,10449
1,10450
1,10451
1,10452
1,10453
1,10454
1,10455
1,10456
1,10457
1,10458
1,10459
1,10460
1,10461
1,10462
1,10463
1,10464
1,10465
1,10466
1,10467
1,10468
1,10469
1,10470
1,10471
1,10472
1,10473
1,10474
1,10475
1,10476
1,10477
1,10478
1,10479
1,10480
1,10481
1,10482
1,10483
1,10484
1,10485
1,10486
1,10487
1,10488
1,10489
1,10490
1,10491
1,10492
1,10493
1,10494
1,10495
1,10496
1,10497
1,10498
1,10499
1,10500
1,10501
1,10502
1,10503
1,10504
1,10505
1,10506
1,10507
1,10508
1,10509
1,10510
1,10511
1,10512
1,10513
1,10514
1,10515
1,10516
1,10517
1,10518
1,10519
1,10520
1,10521
1,10522
1,10523
1,10524
1,10525
1,10526
1,10527
1,10528
1,10529
1,10530
1,10531
1,10532
1,10533
1,10534
1,10535
1,10536
1,10537
1,10538
1,10539
1,10540
1,10541
1,10542
1,10543
1,10544
1,10545
1,10546
1,10547
1,10548
1,10549
1,10550
1,10551
1,10552
1,10553
1,10554
1,10555
1,10556
1,10557
1,10558
1,10559
1,10560
1,10561
1,10562
1,10563
1,10564
1,10565
1,10566
1,10567
1,10568
1,10569
1,10570
1,10571
1,10572
1,10573
1,10574
1,10575
1,10576
1,10577
1,10578
1,10579
1,10580
1,10581
1,10582
1,10583
1,10584
1,10585
1,10586
1,10587
1,10588
1,10589
1,10590
1,10591
1,10592
1,10593
1,10594
1,10595
1,10596
1,10597
1,10598
1,10599
1,10600
1,10601
1,10602
1,10603
1,10604
1,10605
1,10606
1,10607
1,10608
1,10609
1,10610
1,10611
1,10612
1,10613
1,10614
1,10615
1,10616
1,10617
1,10618
1,10619
1,10620
1,10621
1,10622
1,10623
1,10624
1,10625
1,10626
1,10627
1,10628
1,10629
1,10630
1,10631
1,10632
1,10633
1,10634
1,10635
1,10636
1,10637
1,10638
1,10639
1,10640
1,10641
1,10642
1,10643
1,10644
1,10645
1,10646
1,10647
1,10648
1,10649
1,10650
1,10651
1,10652
1,10653
1,10654
1,10655
1,10656
1,10657
1,10658
1,10659
1,10660
1,10661
1,10662
1,10663
1,10664
1,10665
1,10666
1,10667
1,10668
1,10669
1,10670
1,10671
1,10672
1,10673
1,10674
1,10675
1,10676
1,10677
1,10678
1,10679
1,10680
1,10681
1,10682
1,10683
1,10684
1,10685
1,10686
1,10687
1,10688
1,10689
1,10690
1,10691
1,10692
1,10693
1,10694
1,10695
1,10696
1,10697
1,10698
1,10699
1,10700
1,10701
1,10702
1,10703
1,10704
1,10705
1,10706
1,10707
1,10708
1,10709
1,10710
1,10711
1,10712
1,10713
1,10714
1,10715
1,10716
1,10717
1,10718
1,10719
1,10720
